cobrand_reduced,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cobrand,19782,18987,13615,7551,11125,14272,14475,14730,14935,14764,15548,13955
FixMyStreet.com,35969,36054,29370,15278,21017,26041,27424,28545,28856,27517,28063,26312
