method,1,2,3,4,5,6,7,8,9,10
Cobrand,2840.0,7734.0,9538.0,13724.0,12594.0,15328.0,14465.0,18682.0,17311.0,18154.0
FixMyStreet.com,8812.0,12019.0,15923.0,16886.0,15995.0,16880.0,18998.0,18339.0,17694.0,17580.0
Mobile,15528.0,18570.0,20160.0,24017.0,22922.0,23668.0,22185.0,23693.0,21819.0,21684.0
