SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,733.0,1518.0,1607.0,1765.0,1524.0,1401.0,1251.0,1388.0,1396.0,1183.0
Bin Replacement,28.0,55.0,100.0,142.0,85.0,58.0,84.0,73.0,41.0,33.0
Bridge/Culvert Defects,28.0,54.0,70.0,140.0,118.0,170.0,202.0,212.0,189.0,162.0
Bus Stops Damage,106.0,115.0,130.0,115.0,101.0,107.0,101.0,98.0,110.0,102.0
Dangerous Building/Structure,4.0,7.0,14.0,6.0,7.0,11.0,21.0,10.0,13.0,23.0
Dog Fouling,233.0,418.0,440.0,518.0,396.0,433.0,301.0,403.0,234.0,267.0
Drainage,668.0,1108.0,1471.0,2038.0,1776.0,2702.0,3360.0,3776.0,3377.0,4058.0
Environmental Health,25.0,126.0,180.0,287.0,306.0,219.0,236.0,188.0,220.0,118.0
Fences,1.0,9.0,16.0,19.0,23.0,10.0,12.0,6.0,10.0,2.0
Gritting,10.0,14.0,20.0,46.0,19.0,29.0,43.0,42.0,39.0,41.0
Grounds Maintenance,71.0,213.0,216.0,407.0,258.0,293.0,335.0,252.0,237.0,182.0
Highways Enquiries,967.0,1323.0,1440.0,1768.0,2027.0,2192.0,2204.0,2109.0,2207.0,2251.0
Incivilities,426.0,905.0,1171.0,1481.0,1397.0,1402.0,1189.0,1623.0,1450.0,828.0
Open Spaces/Parks,447.0,868.0,710.0,838.0,683.0,531.0,870.0,758.0,987.0,848.0
Other,1868.0,2151.0,2264.0,2669.0,2634.0,2731.0,2782.0,2666.0,2530.0,2396.0
Overgrown/Fallen Veg/Trees,874.0,1672.0,2062.0,2887.0,2740.0,3459.0,4058.0,4353.0,4482.0,5348.0
Parking,906.0,1136.0,1172.0,1068.0,1055.0,951.0,925.0,1206.0,954.0,931.0
Pavement /Footway Defects,1258.0,1488.0,1579.0,1703.0,1755.0,1808.0,1914.0,2262.0,2105.0,2580.0
Property Damage,,,,,1.0,,1.0,,1.0,
Public Toilets,5.0,9.0,11.0,11.0,22.0,7.0,23.0,20.0,9.0,12.0
Retaining Wall,10.0,12.0,5.0,8.0,3.0,7.0,13.0,5.0,12.0,2.0
Right of Way,605.0,1106.0,1686.0,1910.0,1865.0,1773.0,2032.0,2108.0,1849.0,1279.0
Road Safety,791.0,1271.0,1614.0,2160.0,1879.0,2514.0,2672.0,3117.0,2828.0,2877.0
Road Surface Defects,3527.0,5239.0,7277.0,8814.0,9348.0,12479.0,14538.0,16124.0,15928.0,16476.0
Rubbish,11244.0,13198.0,15719.0,18259.0,15437.0,15059.0,9596.0,10081.0,7625.0,6651.0
Street Furniture,241.0,1369.0,1444.0,1951.0,2164.0,1539.0,2108.0,2696.0,2338.0,1793.0
Street Lights,2061.0,2840.0,3040.0,3454.0,3733.0,3874.0,4659.0,5087.0,5613.0,6941.0
Utility Works,43.0,99.0,163.0,163.0,155.0,117.0,118.0,51.0,40.0,34.0
