SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,843.0,1159.0,1237.0,1458.0,1615.0,1403.0,1597.0,1351.0,1467.0,1287.0
Bin Replacement,30.0,79.0,101.0,69.0,81.0,77.0,93.0,67.0,60.0,42.0
Bridge/Culvert Defects,64.0,92.0,99.0,125.0,140.0,143.0,195.0,162.0,172.0,153.0
Bus Stops Damage,94.0,97.0,110.0,91.0,101.0,87.0,117.0,78.0,121.0,114.0
Dangerous Building/Structure,11.0,8.0,7.0,7.0,10.0,,16.0,15.0,20.0,22.0
Dog Fouling,188.0,377.0,342.0,358.0,419.0,287.0,372.0,294.0,360.0,236.0
Drainage,1289.0,1764.0,1729.0,2081.0,2151.0,2253.0,3168.0,3010.0,3613.0,3276.0
Environmental Health,62.0,122.0,130.0,215.0,219.0,236.0,260.0,239.0,262.0,160.0
Fences,7.0,10.0,14.0,13.0,19.0,22.0,13.0,4.0,2.0,4.0
Gritting,19.0,18.0,21.0,35.0,14.0,48.0,54.0,33.0,23.0,38.0
Grounds Maintenance,171.0,355.0,275.0,264.0,252.0,220.0,256.0,230.0,242.0,199.0
Highways Enquiries,918.0,1113.0,1324.0,1582.0,1819.0,1934.0,1918.0,1995.0,1898.0,1968.0
Incivilities,259.0,397.0,526.0,907.0,1102.0,1233.0,2072.0,1489.0,1608.0,2006.0
Open Spaces/Parks,401.0,530.0,517.0,679.0,768.0,695.0,829.0,647.0,977.0,1118.0
Other,1743.0,2174.0,2236.0,2502.0,2413.0,2288.0,2712.0,2538.0,2463.0,2247.0
Overgrown/Fallen Veg/Trees,1969.0,2488.0,2642.0,2837.0,2944.0,2732.0,3795.0,3421.0,4293.0,4352.0
Parking,819.0,925.0,917.0,1019.0,979.0,1035.0,1007.0,822.0,1008.0,1080.0
Pavement /Footway Defects,1291.0,1409.0,1435.0,1664.0,1667.0,1580.0,2023.0,1758.0,1857.0,2240.0
Property Damage,,,,,2.0,1.0,,,,
Public Toilets,7.0,9.0,5.0,13.0,12.0,25.0,4.0,12.0,9.0,17.0
Retaining Wall,16.0,9.0,6.0,14.0,2.0,8.0,6.0,6.0,4.0,6.0
Right of Way,1092.0,1316.0,1217.0,1689.0,1612.0,1524.0,2121.0,1899.0,2312.0,1431.0
Road Safety,1339.0,1764.0,1712.0,1923.0,1958.0,2085.0,2734.0,2480.0,2766.0,2378.0
Road Surface Defects,5489.0,7505.0,7802.0,8506.0,9772.0,9723.0,12622.0,12941.0,15000.0,14211.0
Rubbish,7322.0,8383.0,9397.0,11315.0,13046.0,12997.0,16496.0,14801.0,14404.0,10466.0
Street Furniture,349.0,1202.0,955.0,1447.0,1695.0,1078.0,2502.0,1974.0,3039.0,3343.0
Street Lights,3371.0,3393.0,3380.0,4244.0,3654.0,3372.0,4474.0,3990.0,4502.0,4731.0
Utility Works,115.0,215.0,146.0,139.0,77.0,92.0,62.0,48.0,54.0,35.0
