answered_survey,1,2,3,4,5,6,7,8,9,10
No,890.0,961.0,819.0,947.0,773.0,1059.0,1260.0,1140.0,1012.0,1030.0
Yes,178.0,156.0,148.0,139.0,137.0,159.0,190.0,175.0,170.0,156.0
