status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,41329,38076,28034,26799,26069,27787,29273,31276,45194,57559
Reported Fixed,13305,16916,12977,14709,12523,13070,12762,13566,16944,25962
