method,1,2,3,4,5,6,7,8,9,10
Desktop,2331,2962,3251,3948,4821,4430,6090,5860,6794,6513
Mobile,10074,10494,11028,14392,15236,15227,19179,15346,15943,15254
Open311,987,1689,1446,1370,1180,1016,1452,1617,1879,1317
Unclear,15886,21768,22557,25486,27306,26505,34797,33481,37920,34076
