method,1,2,3,4,5,6,7,8,9,10
Desktop,4374.0,4607.0,3590.0,4038.0,3565.0,4028.0,4265.0,4427.0,6650.0,9130.0
Mobile,22765.0,22734.0,14432.0,12582.0,12320.0,11149.0,11443.0,12501.0,14022.0,17832.0
Open311,203.0,506.0,577.0,751.0,1001.0,1231.0,1549.0,1523.0,2635.0,3977.0
Unclear,27292.0,27145.0,22412.0,24137.0,21706.0,24449.0,24778.0,26391.0,38831.0,52582.0
