status-council,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,43245,44707,34589,18032,25781,32655,34829,36385,36844,34837,35617,33335
Yes,12506,10334,8396,4797,6361,7658,7070,6890,6947,7444,7994,6932
