status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,56818,34189,28457,27839,29758,30623,28822,32323,32797,34454
Reported Fixed,24824,14303,13515,13071,13010,14672,13554,14520,12833,12526
