answered_survey,1,2,3,4,5,6,7,8,9,10
No,769.0,838.0,699.0,1167.0,878.0,841.0,1093.0,1132.0,1123.0,1352.0
Yes,141.0,162.0,130.0,174.0,135.0,156.0,152.0,171.0,186.0,201.0
