SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2029.0,2258.0,1971.0,1760.0,1516.0,1074.0,991.0,709.0,659.0,450.0
Bin Replacement,57.0,82.0,96.0,101.0,75.0,74.0,79.0,68.0,48.0,19.0
Bridge/Culvert Defects,406.0,175.0,163.0,123.0,97.0,79.0,68.0,97.0,94.0,43.0
Bus Stops Damage,109.0,137.0,148.0,118.0,92.0,90.0,89.0,70.0,91.0,66.0
Dangerous Building/Structure,17.0,12.0,7.0,4.0,6.0,13.0,21.0,8.0,16.0,12.0
Dog Fouling,246.0,354.0,395.0,399.0,254.0,346.0,328.0,353.0,271.0,287.0
Drainage,4325.0,2954.0,2806.0,2499.0,2253.0,2188.0,1961.0,2012.0,2007.0,1329.0
Environmental Health,288.0,249.0,240.0,303.0,225.0,153.0,185.0,115.0,105.0,42.0
Fences,11.0,24.0,8.0,11.0,14.0,10.0,15.0,12.0,2.0,1.0
Gritting,62.0,45.0,33.0,35.0,28.0,23.0,23.0,18.0,19.0,17.0
Grounds Maintenance,326.0,308.0,273.0,246.0,188.0,273.0,222.0,275.0,208.0,145.0
Highways Enquiries,2716.0,2569.0,1852.0,1782.0,1405.0,1283.0,1310.0,1220.0,1164.0,1168.0
Incivilities,1440.0,1764.0,2061.0,1810.0,1470.0,1239.0,918.0,350.0,352.0,195.0
Open Spaces/Parks,1171.0,1393.0,1131.0,800.0,678.0,645.0,551.0,288.0,293.0,211.0
Other,4041.0,3312.0,3037.0,2810.0,2055.0,2020.0,1782.0,1618.0,1478.0,1163.0
Overgrown/Fallen Veg/Trees,4694.0,3994.0,3912.0,3624.0,3039.0,2785.0,2688.0,2578.0,2514.0,1645.0
Parking,1084.0,1339.0,1223.0,1161.0,888.0,810.0,802.0,752.0,782.0,770.0
Pavement /Footway Defects,1631.0,2187.0,2092.0,1914.0,1647.0,1750.0,1483.0,1533.0,1491.0,1196.0
Property Damage,,1.0,1.0,,,1.0,,,,
Public Toilets,10.0,9.0,10.0,9.0,15.0,10.0,7.0,10.0,8.0,25.0
Retaining Wall,4.0,4.0,26.0,13.0,7.0,7.0,2.0,11.0,2.0,1.0
Right of Way,3091.0,2660.0,2035.0,2003.0,1884.0,1325.0,1224.0,863.0,722.0,406.0
Road Safety,3116.0,2482.0,2848.0,2669.0,2020.0,2159.0,1754.0,1656.0,1420.0,1015.0
Road Surface Defects,20712.0,13518.0,12152.0,10706.0,8892.0,8560.0,8469.0,7488.0,7394.0,5680.0
Rubbish,29322.0,23455.0,18259.0,13789.0,9162.0,6335.0,6830.0,4270.0,4159.0,3046.0
Street Furniture,2859.0,3419.0,3395.0,2544.0,1981.0,1350.0,804.0,433.0,492.0,307.0
Street Lights,3606.0,4012.0,4918.0,5534.0,4631.0,4457.0,3227.0,3330.0,3078.0,2318.0
Utility Works,99.0,139.0,132.0,95.0,54.0,95.0,120.0,143.0,59.0,47.0
