status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,25956,31981,35091,33243,37162,30460,33558,35633,34173,38823
Reported Fixed,11372,14938,15280,14869,14516,13587,14365,14147,14545,19209
