status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,18087,25720,31771,38942,37218,40412,39687,42535,38587,38437
Reported Fixed,8542,12813,14321,16104,14064,15965,16794,18686,18305,17140
