SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,699.0,1459.0,1607.0,1719.0,1562.0,1404.0,1240.0,1297.0,1326.0,1104.0
Bin Replacement,28.0,56.0,100.0,143.0,91.0,57.0,84.0,72.0,39.0,29.0
Bridge/Culvert Defects,28.0,55.0,73.0,139.0,118.0,184.0,199.0,207.0,190.0,152.0
Bus Stops Damage,98.0,105.0,121.0,108.0,104.0,102.0,94.0,88.0,96.0,94.0
Dangerous Building/Structure,4.0,7.0,14.0,6.0,7.0,11.0,21.0,10.0,13.0,23.0
Dog Fouling,182.0,339.0,403.0,468.0,394.0,372.0,265.0,360.0,216.0,234.0
Drainage,668.0,1118.0,1535.0,2029.0,1922.0,2853.0,3386.0,3625.0,3301.0,3897.0
Environmental Health,25.0,126.0,196.0,299.0,315.0,210.0,235.0,171.0,212.0,116.0
Fences,1.0,9.0,16.0,22.0,23.0,8.0,11.0,6.0,10.0,2.0
Gritting,10.0,14.0,21.0,46.0,20.0,29.0,43.0,44.0,35.0,41.0
Grounds Maintenance,71.0,213.0,238.0,406.0,259.0,304.0,312.0,260.0,228.0,173.0
Highways Enquiries,820.0,1139.0,1336.0,1615.0,1869.0,1995.0,1915.0,1839.0,1977.0,1964.0
Incivilities,407.0,869.0,1186.0,1445.0,1416.0,1446.0,1241.0,1481.0,1367.0,741.0
Open Spaces/Parks,414.0,832.0,676.0,790.0,673.0,549.0,884.0,648.0,964.0,731.0
Other,1725.0,1979.0,2208.0,2584.0,2574.0,2651.0,2671.0,2395.0,2373.0,2156.0
Overgrown/Fallen Veg/Trees,852.0,1636.0,2162.0,2825.0,2821.0,3461.0,4103.0,4175.0,4350.0,5088.0
Parking,833.0,1044.0,1117.0,994.0,988.0,903.0,903.0,1100.0,897.0,832.0
Pavement /Footway Defects,1124.0,1316.0,1457.0,1564.0,1678.0,1667.0,1754.0,2069.0,1956.0,2339.0
Property Damage,,,,,1.0,,1.0,,1.0,
Public Toilets,5.0,8.0,9.0,10.0,19.0,7.0,25.0,15.0,7.0,8.0
Retaining Wall,10.0,12.0,5.0,8.0,4.0,7.0,16.0,1.0,12.0,2.0
Right of Way,605.0,1113.0,1750.0,1896.0,1953.0,1887.0,2019.0,1963.0,1797.0,1230.0
Road Safety,741.0,1224.0,1625.0,2118.0,1930.0,2570.0,2568.0,2962.0,2716.0,2685.0
Road Surface Defects,3039.0,4786.0,7133.0,8415.0,8940.0,12505.0,13820.0,14896.0,14830.0,15207.0
Rubbish,10497.0,12612.0,16104.0,17401.0,15353.0,14887.0,9754.0,9044.0,6867.0,6108.0
Street Furniture,238.0,1357.0,1498.0,1911.0,2207.0,1642.0,2338.0,2459.0,2318.0,1616.0
Street Lights,1831.0,2608.0,2904.0,3291.0,3661.0,3748.0,4485.0,4834.0,5235.0,6514.0
Utility Works,43.0,99.0,169.0,164.0,175.0,99.0,112.0,52.0,42.0,28.0
