method,1,2,3,4,5,6,7,8,9,10
Desktop,139.0,136.0,92.0,78.0,55.0,89.0,81.0,110.0,86.0,56.0
Mobile,813.0,718.0,625.0,438.0,435.0,531.0,457.0,568.0,499.0,261.0
Unclear,805.0,728.0,579.0,457.0,435.0,585.0,403.0,494.0,405.0,343.0
