status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,63594,42624,33684,27904,26234,24775,28832,31271,29678,27484
Reported Fixed,15395,18717,20271,15655,11804,11447,12019,13019,14211,14290
