method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Desktop,,,,,,,,,,15862.0,17172.0,15640.0
Mobile,12091.0,12872.0,10838.0,5941.0,8280.0,9254.0,10284.0,10283.0,10369.0,19903.0,21742.0,19945.0
Open311,,,4.0,,4.0,8.0,6.0,14.0,31.0,4523.0,4697.0,4682.0
Unclear,43660.0,42169.0,32143.0,16888.0,23858.0,31051.0,31609.0,32978.0,33391.0,1993.0,,
