answered_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,3943,1885,1066,751,679,1366,4138,12044,24622,37211,39971,40776,38571,36954,37718,37021,32741,25939,22022,19903,18437,16190,13096,7600
Yes,281,130,59,54,55,101,278,792,1486,2125,2252,2359,2300,2100,2133,2113,1942,1776,1647,1440,1382,1250,925,561
