cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,3684.0,10288.0,12178.0,17219.0,16893.0,19109.0,20216.0,25739.0,24080.0,24333.0
FixMyStreet.com,23300.0,27589.0,31442.0,33967.0,35516.0,35508.0,36304.0,38037.0,34317.0,34411.0
