cobrand_reduced,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cobrand,1226,535,345,256,227,455,1227,3674,8199,14593,15425,15916,14981,13582,14269,13917,12885,9314,7456,6910,6290,5440,4333,2284
FixMyStreet.com,2998,1480,780,549,507,1012,3189,9162,17909,24743,26798,27219,25890,25472,25582,25217,21798,18401,16213,14433,13529,12000,9688,5877
