status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,16786,24090,31634,36987,36840,39677,38351,38889,36258,36568
Reported Fixed,8212,12045,14029,15429,14237,15881,16148,17184,17117,16546
