status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,60734,51613,30295,25060,25191,26969,27607,30809,32442,25360
Reported Fixed,22314,22321,16804,12439,10978,11541,10656,11844,16187,11744
