SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,759.0,1098.0,1552.0,1670.0,1417.0,1407.0,1163.0,1365.0,1256.0,1730.0
Bin Replacement,1.0,30.0,41.0,85.0,67.0,103.0,95.0,53.0,62.0,162.0
Bridge/Culvert Defects,36.0,77.0,96.0,102.0,107.0,173.0,184.0,202.0,246.0,122.0
Bus Stops Damage,83.0,99.0,111.0,96.0,82.0,92.0,103.0,81.0,99.0,164.0
Dangerous Building/Structure,2.0,10.0,11.0,3.0,4.0,5.0,13.0,16.0,33.0,19.0
Dog Fouling,158.0,268.0,271.0,331.0,423.0,377.0,287.0,342.0,327.0,449.0
Drainage,798.0,1113.0,1543.0,1673.0,1881.0,2200.0,2833.0,3770.0,4198.0,4325.0
Environmental Health,9.0,91.0,216.0,308.0,311.0,291.0,188.0,170.0,82.0,239.0
Fences,,9.0,19.0,22.0,24.0,17.0,10.0,6.0,1.0,
Gritting,10.0,13.0,22.0,38.0,23.0,46.0,40.0,36.0,37.0,38.0
Grounds Maintenance,79.0,126.0,268.0,306.0,230.0,283.0,320.0,231.0,290.0,331.0
Highways Enquiries,718.0,850.0,1270.0,1353.0,1563.0,1730.0,1840.0,2220.0,2417.0,2508.0
Incivilities,274.0,389.0,625.0,553.0,818.0,748.0,853.0,1271.0,1762.0,4306.0
Open Spaces/Parks,358.0,611.0,826.0,694.0,735.0,860.0,746.0,898.0,787.0,646.0
Other,1454.0,1767.0,2268.0,2289.0,2404.0,2455.0,2469.0,2611.0,2677.0,2922.0
Overgrown/Fallen Veg/Trees,1039.0,1724.0,2351.0,2666.0,2874.0,3676.0,4118.0,4504.0,4392.0,4129.0
Parking,815.0,881.0,934.0,964.0,922.0,859.0,1112.0,996.0,1097.0,1031.0
Pavement /Footway Defects,1060.0,1105.0,1325.0,1365.0,1347.0,1570.0,1703.0,1915.0,2335.0,3199.0
Property Damage,,,,,,1.0,,,2.0,
Public Toilets,1.0,10.0,8.0,29.0,5.0,5.0,8.0,12.0,11.0,24.0
Retaining Wall,7.0,2.0,10.0,2.0,6.0,5.0,7.0,6.0,6.0,26.0
Right of Way,675.0,1177.0,2133.0,2558.0,2158.0,1649.0,1367.0,1704.0,1442.0,1350.0
Road Safety,813.0,1027.0,1475.0,1683.0,1799.0,2112.0,2468.0,2861.0,3225.0,3676.0
Road Surface Defects,3790.0,5616.0,7144.0,7815.0,8728.0,11145.0,13440.0,16373.0,16691.0,12829.0
Rubbish,8895.0,8205.0,11005.0,10321.0,9592.0,13623.0,9995.0,13877.0,13678.0,19436.0
Street Furniture,242.0,1255.0,1909.0,1452.0,1721.0,1570.0,2243.0,2490.0,2696.0,2006.0
Street Lights,2365.0,2666.0,3055.0,3109.0,3308.0,3737.0,4722.0,4821.0,4892.0,6436.0
Utility Works,18.0,53.0,119.0,178.0,148.0,143.0,123.0,89.0,45.0,67.0
