cobrand_reduced,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cobrand,31570,29496,29294,27763,24312,14793,16511
FixMyStreet.com,55052,52864,52265,50115,45276,35734,39140
