SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1937.0,2039.0,1542.0,1480.0,1181.0,1247.0,1222.0,1140.0,1243.0,744.0
Bin Replacement,204.0,69.0,51.0,40.0,41.0,34.0,42.0,52.0,127.0,39.0
Bridge/Culvert Defects,9.0,26.0,32.0,42.0,50.0,57.0,79.0,113.0,286.0,651.0
Bus Stops Damage,102.0,117.0,112.0,136.0,124.0,119.0,102.0,117.0,116.0,40.0
Dangerous Building/Structure,1.0,3.0,5.0,5.0,6.0,15.0,23.0,14.0,13.0,31.0
Dog Fouling,456.0,422.0,449.0,339.0,390.0,399.0,311.0,377.0,335.0,174.0
Drainage,1033.0,1420.0,1368.0,1541.0,1523.0,1884.0,2189.0,2330.0,4221.0,6829.0
Environmental Health,213.0,261.0,227.0,200.0,142.0,136.0,151.0,103.0,230.0,242.0
Fences,,9.0,11.0,17.0,10.0,8.0,6.0,14.0,22.0,11.0
Gritting,2.0,18.0,16.0,19.0,22.0,18.0,22.0,27.0,48.0,111.0
Grounds Maintenance,126.0,98.0,170.0,154.0,156.0,210.0,219.0,257.0,563.0,511.0
Highways Enquiries,1377.0,1660.0,1403.0,1397.0,1571.0,1477.0,1692.0,1954.0,2483.0,3523.0
Incivilities,2939.0,2282.0,1412.0,987.0,1111.0,935.0,816.0,696.0,468.0,230.0
Open Spaces/Parks,382.0,831.0,711.0,1138.0,802.0,1037.0,846.0,785.0,743.0,267.0
Other,2452.0,2421.0,2257.0,2138.0,2223.0,2325.0,2230.0,2323.0,2962.0,3377.0
Overgrown/Fallen Veg/Trees,941.0,2323.0,2171.0,2871.0,2758.0,3014.0,3173.0,3435.0,5352.0,5903.0
Parking,1138.0,1229.0,1080.0,1049.0,1049.0,1171.0,1119.0,1066.0,883.0,528.0
Pavement /Footway Defects,1595.0,1663.0,1806.0,1922.0,1859.0,1858.0,2094.0,1954.0,1999.0,1719.0
Property Damage,,,,1.0,,,,,,2.0
Public Toilets,10.0,11.0,9.0,10.0,27.0,11.0,20.0,9.0,13.0,9.0
Retaining Wall,18.0,12.0,3.0,8.0,3.0,17.0,7.0,5.0,1.0,3.0
Right of Way,1244.0,2061.0,1815.0,1524.0,1452.0,1272.0,1346.0,1238.0,1342.0,2919.0
Road Safety,1521.0,1319.0,1424.0,1408.0,1726.0,1803.0,2142.0,2253.0,3451.0,4685.0
Road Surface Defects,2388.0,5081.0,5425.0,7503.0,7371.0,8548.0,9332.0,11214.0,19179.0,33777.0
Rubbish,30709.0,22648.0,11568.0,8698.0,7151.0,6593.0,6603.0,7207.0,9300.0,12479.0
Street Furniture,1224.0,3211.0,2034.0,2225.0,1741.0,2075.0,1370.0,1313.0,1600.0,853.0
Street Lights,2555.0,3632.0,3811.0,4538.0,4047.0,4482.0,4805.0,4763.0,4987.0,3778.0
Utility Works,58.0,126.0,99.0,118.0,56.0,112.0,74.0,83.0,171.0,86.0
