SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,2958.0,2873.0,1941.0,1345.0,1032.0,824.0,735.0,770.0,622.0,317.0
Bin Replacement,138.0,152.0,47.0,49.0,59.0,64.0,67.0,72.0,42.0,9.0
Bridge/Culvert Defects,32.0,53.0,42.0,69.0,124.0,140.0,177.0,198.0,340.0,170.0
Bus Stops Damage,181.0,170.0,121.0,102.0,82.0,99.0,80.0,74.0,57.0,44.0
Dangerous Building/Structure,,,,,10.0,9.0,14.0,9.0,24.0,50.0
Dog Fouling,511.0,498.0,293.0,377.0,237.0,324.0,218.0,271.0,220.0,284.0
Drainage,1296.0,2288.0,1699.0,1608.0,2052.0,2462.0,2684.0,3215.0,3941.0,3089.0
Environmental Health,325.0,423.0,216.0,180.0,148.0,125.0,117.0,219.0,123.0,29.0
Fences,7.0,23.0,16.0,16.0,7.0,11.0,5.0,17.0,4.0,2.0
Gritting,8.0,25.0,19.0,13.0,19.0,37.0,28.0,50.0,73.0,31.0
Grounds Maintenance,122.0,216.0,159.0,241.0,247.0,256.0,270.0,335.0,299.0,319.0
Highways Enquiries,2265.0,1825.0,1356.0,1257.0,1259.0,1569.0,1635.0,1840.0,1895.0,1568.0
Incivilities,3489.0,3763.0,1639.0,713.0,615.0,399.0,268.0,287.0,256.0,170.0
Open Spaces/Parks,1391.0,1630.0,1299.0,887.0,515.0,318.0,274.0,331.0,312.0,204.0
Other,3692.0,3695.0,2264.0,2046.0,1889.0,1994.0,2051.0,2082.0,2039.0,1564.0
Overgrown/Fallen Veg/Trees,2105.0,3112.0,2734.0,2742.0,3034.0,3226.0,3257.0,3794.0,4153.0,3316.0
Parking,1647.0,1404.0,1260.0,906.0,848.0,772.0,728.0,731.0,631.0,684.0
Pavement /Footway Defects,2092.0,2431.0,1707.0,1382.0,1381.0,1542.0,1605.0,1541.0,1580.0,1663.0
Property Damage,,,,,2.0,,,1.0,,
Public Toilets,8.0,20.0,12.0,9.0,10.0,10.0,3.0,9.0,21.0,11.0
Retaining Wall,11.0,24.0,12.0,12.0,6.0,4.0,4.0,4.0,,
Right of Way,2158.0,3692.0,2068.0,1579.0,1122.0,1050.0,981.0,1166.0,1483.0,914.0
Road Safety,1450.0,2966.0,1926.0,1729.0,1959.0,2197.0,2099.0,2438.0,2727.0,1648.0
Road Surface Defects,3907.0,8502.0,8766.0,8306.0,9091.0,10730.0,11581.0,12970.0,16694.0,13024.0
Rubbish,46681.0,22647.0,9326.0,6557.0,5769.0,6142.0,5437.0,6184.0,6111.0,3773.0
Street Furniture,3702.0,5329.0,3319.0,1654.0,726.0,470.0,443.0,458.0,567.0,916.0
Street Lights,2762.0,6042.0,4763.0,3568.0,3807.0,3640.0,3386.0,3480.0,4363.0,3300.0
Utility Works,110.0,131.0,95.0,152.0,119.0,96.0,116.0,107.0,52.0,5.0
