method,1,2,3,4,5,6,7,8,9,10
Desktop,23.0,57.0,72.0,58.0,83.0,38.0,104.0,107.0,101.0,67.0
Mobile,561.0,590.0,463.0,307.0,294.0,324.0,430.0,368.0,456.0,350.0
Unclear,296.0,427.0,548.0,391.0,447.0,342.0,508.0,549.0,556.0,416.0
