SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,697.0,1280.0,1500.0,1608.0,1558.0,1381.0,1267.0,1150.0,1453.0,1523.0
Bin Replacement,37.0,76.0,108.0,118.0,79.0,88.0,58.0,31.0,18.0,86.0
Bridge/Culvert Defects,29.0,63.0,90.0,91.0,98.0,195.0,135.0,161.0,223.0,260.0
Bus Stops Damage,98.0,96.0,115.0,103.0,101.0,94.0,94.0,111.0,87.0,111.0
Dangerous Building/Structure,4.0,9.0,12.0,9.0,8.0,10.0,8.0,19.0,9.0,28.0
Dog Fouling,235.0,338.0,344.0,470.0,365.0,426.0,297.0,224.0,233.0,301.0
Drainage,738.0,1070.0,1661.0,1903.0,1796.0,2181.0,2574.0,3380.0,3999.0,5032.0
Environmental Health,50.0,117.0,198.0,237.0,256.0,241.0,232.0,176.0,237.0,161.0
Fences,2.0,13.0,18.0,22.0,13.0,11.0,10.0,6.0,10.0,3.0
Gritting,8.0,13.0,32.0,27.0,33.0,26.0,19.0,52.0,31.0,62.0
Grounds Maintenance,121.0,199.0,260.0,346.0,228.0,332.0,258.0,263.0,213.0,244.0
Highways Enquiries,817.0,886.0,1286.0,1494.0,1627.0,1754.0,1761.0,1912.0,2330.0,2602.0
Incivilities,496.0,647.0,1091.0,1223.0,1300.0,847.0,1276.0,1086.0,1058.0,2575.0
Open Spaces/Parks,398.0,657.0,757.0,688.0,809.0,642.0,658.0,640.0,896.0,1016.0
Other,1634.0,1838.0,2138.0,2282.0,2291.0,2395.0,2364.0,2690.0,2798.0,2886.0
Overgrown/Fallen Veg/Trees,928.0,1621.0,2365.0,2756.0,2727.0,3229.0,3477.0,4035.0,4773.0,5562.0
Parking,787.0,915.0,1050.0,1059.0,1003.0,1008.0,1033.0,860.0,895.0,1001.0
Pavement /Footway Defects,1043.0,1267.0,1499.0,1510.0,1557.0,1482.0,1627.0,1976.0,2086.0,2877.0
Property Damage,,,,1.0,,1.0,,,1.0,
Public Toilets,4.0,7.0,24.0,10.0,9.0,10.0,12.0,10.0,8.0,19.0
Retaining Wall,9.0,7.0,8.0,7.0,10.0,2.0,6.0,6.0,8.0,14.0
Right of Way,594.0,923.0,1366.0,1783.0,2111.0,1623.0,1925.0,1815.0,2322.0,1751.0
Road Safety,832.0,1135.0,1662.0,1708.0,1787.0,2165.0,2284.0,2559.0,2897.0,4110.0
Road Surface Defects,3219.0,4853.0,7055.0,7869.0,8759.0,9838.0,11373.0,13985.0,16639.0,19981.0
Rubbish,9435.0,10010.0,13011.0,14958.0,12866.0,13176.0,12344.0,10232.0,9431.0,13164.0
Street Furniture,261.0,1365.0,1381.0,1625.0,2450.0,1449.0,1893.0,2243.0,2533.0,2384.0
Street Lights,2043.0,2285.0,3072.0,3318.0,3774.0,4030.0,3674.0,5047.0,4777.0,7091.0
Utility Works,51.0,153.0,128.0,179.0,74.0,153.0,82.0,54.0,65.0,44.0
