status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,18052,20906,27346,29172,28754,32277,41404,42989,51480,43700
Reported Fixed,9160,10773,11666,14380,13560,15544,17937,17822,19494,16492
