status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Not Reported Fixed,2926,1422,827,583,551,1007,2966,8667,17659,26962,29195,30131,28875,27444,28094,27739,24599,19707,16447,14611,13627,12064,9667,5672
Reported Fixed,1298,593,298,222,183,460,1450,4169,8449,12374,13028,13004,11996,11610,11757,11395,10084,8008,7222,6732,6192,5376,4354,2489
