method,1,2,3,4,5,6,7,8,9,10
Desktop,175.0,93.0,65.0,86.0,75.0,82.0,87.0,97.0,87.0,75.0
Mobile,1072.0,502.0,372.0,480.0,326.0,390.0,547.0,753.0,465.0,438.0
Unclear,946.0,587.0,514.0,433.0,363.0,377.0,594.0,531.0,475.0,414.0
