method,1,2,3,4,5,6,7,8,9,10
Cobrand,2376.0,4529.0,6233.0,7009.0,11036.0,12935.0,14226.0,17997.0,20394.0,33635.0
FixMyStreet.com,7169.0,9127.0,11231.0,12150.0,14101.0,16896.0,15757.0,18799.0,18769.0,25413.0
Mobile,10481.0,12780.0,16470.0,16520.0,18974.0,21461.0,21261.0,24710.0,24511.0,35958.0
