status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,16315,20358,26719,28480,29306,35029,36169,43116,46372,54216
Reported Fixed,8144,9914,13888,13185,13391,15853,16281,19804,18414,17954
