method,1,2,3,4,5,6,7,8,9,10
Desktop,8168,6585,6318,6015,4778,3988,3419,2952,2903,1874
Mobile,27590,25473,21169,16129,11740,10382,9717,7163,6911,5899
Open311,2530,1570,1070,864,1043,1226,1337,1489,1563,1261
Unclear,49184,39227,36667,33854,27015,23558,21480,18676,17551,12570
