method,1,2,3,4,5,6,7,8,9,10
Desktop,39.0,81.0,47.0,50.0,65.0,88.0,116.0,81.0,66.0,77.0
Mobile,640.0,587.0,306.0,387.0,491.0,441.0,349.0,356.0,283.0,302.0
Unclear,343.0,459.0,253.0,442.0,521.0,567.0,517.0,434.0,451.0,493.0
