status,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Not Reported Fixed,36465,38350,29769,14836,21780,27415,29616,31143,31862,30076,30807,29323
Reported Fixed,19286,16691,13216,7993,10362,12898,12283,12132,11929,12205,12804,10944
