SHEF_C,Female,Male
Abandoned Vehicles & Parking,6583,12819
Access,5244,6738
Environmental Disruptions,10205,14571
Environmental Health,44346,75755
Incivilities,1774,7282
Other,7191,10496
Public Space,2580,3772
Road Safety & Defects,49496,109223
