method,A1,B1,C1,C2,D1,D2,E1,E2
Desktop,15152.0,450.0,18929.0,79.0,5044.0,55.0,7719.0,282.0
Mobile,69537.0,5401.0,47114.0,137.0,9661.0,215.0,13593.0,658.0
Open311,878.0,,7584.0,46.0,1971.0,10.0,3391.0,73.0
Unclear,88762.0,3137.0,115977.0,416.0,30464.0,393.0,43456.0,1657.0
