SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,843.0,994.0,1571.0,1540.0,1546.0,1649.0,1577.0,1417.0,1285.0,995.0
Bin Replacement,91.0,111.0,103.0,103.0,80.0,104.0,56.0,18.0,16.0,17.0
Bridge/Culvert Defects,206.0,257.0,147.0,130.0,91.0,94.0,116.0,92.0,120.0,92.0
Bus Stops Damage,80.0,98.0,90.0,131.0,113.0,92.0,133.0,109.0,91.0,73.0
Dangerous Building/Structure,23.0,25.0,8.0,3.0,5.0,11.0,14.0,13.0,14.0,
Dog Fouling,344.0,318.0,409.0,385.0,318.0,337.0,363.0,254.0,216.0,289.0
Drainage,2902.0,3484.0,3159.0,2298.0,2186.0,2320.0,2301.0,2241.0,1796.0,1647.0
Environmental Health,255.0,121.0,237.0,207.0,276.0,324.0,219.0,158.0,77.0,31.0
Fences,11.0,15.0,10.0,25.0,12.0,20.0,7.0,3.0,4.0,1.0
Gritting,55.0,50.0,27.0,21.0,30.0,20.0,36.0,26.0,17.0,21.0
Grounds Maintenance,403.0,342.0,365.0,319.0,218.0,224.0,148.0,130.0,143.0,172.0
Highways Enquiries,2024.0,1976.0,2023.0,1508.0,1618.0,1692.0,1681.0,1547.0,1288.0,1112.0
Incivilities,837.0,1018.0,1982.0,1898.0,1421.0,1438.0,1137.0,701.0,788.0,379.0
Open Spaces/Parks,281.0,455.0,588.0,736.0,873.0,819.0,1081.0,903.0,829.0,596.0
Other,2190.0,2424.0,2734.0,2376.0,2562.0,2546.0,2683.0,2103.0,1821.0,1877.0
Overgrown/Fallen Veg/Trees,2626.0,2829.0,2943.0,2574.0,3078.0,3275.0,3597.0,3309.0,3687.0,3555.0
Parking,864.0,1032.0,1105.0,1074.0,938.0,855.0,970.0,989.0,1013.0,771.0
Pavement /Footway Defects,1598.0,1859.0,2021.0,1689.0,1497.0,1660.0,1836.0,1711.0,1550.0,1503.0
Property Damage,,1.0,,1.0,1.0,,,,,
Public Toilets,7.0,17.0,8.0,15.0,9.0,32.0,10.0,4.0,5.0,6.0
Retaining Wall,3.0,14.0,19.0,12.0,4.0,11.0,8.0,4.0,2.0,
Right of Way,1322.0,1581.0,2040.0,1961.0,2221.0,1902.0,1601.0,1495.0,1125.0,965.0
Road Safety,2417.0,2478.0,2686.0,2214.0,1950.0,1910.0,1987.0,1926.0,1859.0,1712.0
Road Surface Defects,13092.0,13428.0,10585.0,9061.0,8835.0,9307.0,10294.0,10202.0,10124.0,8643.0
Rubbish,10819.0,13421.0,17813.0,15470.0,15852.0,13137.0,12015.0,7898.0,6864.0,5338.0
Street Furniture,555.0,934.0,1289.0,2713.0,2303.0,2353.0,2553.0,2037.0,1988.0,859.0
Street Lights,2241.0,3252.0,3487.0,3338.0,3801.0,3828.0,4363.0,4493.0,4904.0,5404.0
Utility Works,160.0,159.0,128.0,150.0,108.0,125.0,81.0,32.0,32.0,8.0
