cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,22765.0,18859.0,14813.0,15158.0,12257.0,14587.0,14545.0,14014.0,20514.0,26227.0
FixMyStreet.com,31869.0,36133.0,26198.0,26350.0,26335.0,26270.0,27490.0,30828.0,41624.0,57294.0
