cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,28758.0,23149.0,25571.0,25253.0,19417.0,15233.0,12942.0,9394.0,8816.0,5206.0
FixMyStreet.com,58714.0,49706.0,39653.0,31609.0,25159.0,23921.0,23011.0,20886.0,20112.0,16398.0
