SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,17.0,18.0,25.0,14.0,14.0,12.0,7.0,7.0,7.0,7.0
Bus Stops Damage,6.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0
Dog Fouling,16.0,29.0,20.0,18.0,15.0,9.0,20.0,21.0,17.0,16.0
Open Spaces/Parks,5.0,18.0,23.0,11.0,27.0,8.0,17.0,21.0,20.0,32.0
Other,61.0,75.0,93.0,64.0,56.0,56.0,73.0,68.0,78.0,61.0
Parking,30.0,47.0,45.0,43.0,33.0,31.0,43.0,39.0,46.0,29.0
Pavement /Footway Defects,45.0,85.0,92.0,69.0,88.0,58.0,77.0,90.0,103.0,88.0
Public Toilets,,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0
Road Safety,13.0,20.0,25.0,13.0,16.0,21.0,26.0,26.0,29.0,15.0
Road Surface Defects,89.0,208.0,191.0,171.0,149.0,249.0,273.0,284.0,304.0,208.0
Rubbish,464.0,344.0,259.0,175.0,174.0,97.0,170.0,158.0,202.0,118.0
Street Furniture,1.0,10.0,2.0,1.0,1.0,2.0,1.0,9.0,4.0,1.0
Street Lights,72.0,97.0,150.0,85.0,83.0,54.0,107.0,126.0,136.0,107.0
