SHEF_C,Desktop,Mobile,Open311,Unclear
Abandoned Vehicles & Parking,2549,6642,256,14641
Access,1930,2700,318,11394
Environmental Disruptions,3219,5727,2240,27703
Environmental Health,14430,66314,2691,82783
Incivilities,1048,5393,43,5414
Other,2492,5999,275,14986
Public Space,509,2824,23,4207
Road Safety & Defects,22497,56203,8123,128612
