SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,1290.0,1364.0,1756.0,1689.0,1636.0,1652.0,1427.0,1135.0,838.0,630.0
Bin Replacement,174.0,136.0,134.0,72.0,31.0,38.0,61.0,21.0,17.0,15.0
Bridge/Culvert Defects,96.0,198.0,156.0,172.0,127.0,120.0,103.0,107.0,144.0,122.0
Bus Stops Damage,96.0,100.0,133.0,100.0,114.0,115.0,110.0,95.0,83.0,64.0
Dangerous Building/Structure,17.0,17.0,8.0,12.0,4.0,5.0,5.0,16.0,21.0,11.0
Dog Fouling,462.0,457.0,418.0,294.0,254.0,321.0,312.0,224.0,215.0,276.0
Drainage,2570.0,2570.0,2486.0,2770.0,2438.0,2343.0,2279.0,2301.0,2610.0,1967.0
Environmental Health,248.0,192.0,290.0,288.0,256.0,300.0,174.0,78.0,47.0,32.0
Fences,10.0,4.0,17.0,19.0,24.0,20.0,6.0,5.0,1.0,2.0
Gritting,30.0,32.0,38.0,32.0,22.0,27.0,21.0,42.0,27.0,32.0
Grounds Maintenance,398.0,307.0,331.0,288.0,241.0,226.0,216.0,166.0,136.0,155.0
Highways Enquiries,1974.0,2087.0,1952.0,1930.0,1700.0,1515.0,1420.0,1411.0,1377.0,1103.0
Incivilities,2695.0,2142.0,2155.0,1335.0,1022.0,755.0,547.0,344.0,323.0,281.0
Open Spaces/Parks,380.0,484.0,791.0,824.0,1048.0,1131.0,910.0,794.0,430.0,369.0
Other,2430.0,2325.0,3064.0,2905.0,2762.0,2217.0,2196.0,1915.0,1959.0,1543.0
Overgrown/Fallen Veg/Trees,2134.0,2330.0,3175.0,2916.0,3190.0,3238.0,3845.0,3545.0,3605.0,3495.0
Parking,1089.0,1046.0,1125.0,1055.0,981.0,932.0,1069.0,823.0,785.0,706.0
Pavement /Footway Defects,2228.0,1687.0,1619.0,1607.0,1691.0,1565.0,1650.0,1638.0,1833.0,1406.0
Property Damage,,,1.0,,1.0,,1.0,,,
Public Toilets,7.0,14.0,13.0,13.0,20.0,5.0,20.0,10.0,7.0,4.0
Retaining Wall,2.0,11.0,13.0,15.0,12.0,11.0,4.0,5.0,2.0,2.0
Right of Way,905.0,1395.0,2529.0,2240.0,2216.0,2118.0,1738.0,1261.0,1041.0,770.0
Road Safety,2749.0,2339.0,2129.0,2019.0,2217.0,1836.0,1910.0,1927.0,2152.0,1861.0
Road Surface Defects,9563.0,9962.0,9919.0,10281.0,11073.0,10329.0,11158.0,11177.0,10608.0,9501.0
Rubbish,19618.0,22125.0,22831.0,15933.0,9205.0,6484.0,7115.0,5149.0,5603.0,4564.0
Street Furniture,487.0,1082.0,2882.0,2763.0,2735.0,3201.0,2211.0,1255.0,598.0,370.0
Street Lights,2682.0,3156.0,3124.0,3512.0,3738.0,3818.0,4127.0,4790.0,4985.0,5179.0
Utility Works,116.0,134.0,145.0,125.0,157.0,102.0,96.0,70.0,26.0,12.0
