method,1,2,3,4,5,6,7,8,9,10
Desktop,6058,5272,5406,4594,3801,3427,3978,4659,4696,5109
Mobile,35804,24268,15892,11796,9949,8865,9347,9054,8769,8429
Open311,354,366,912,861,1216,1596,2033,2731,2458,1426
Unclear,36773,31435,31745,26308,23072,22334,25493,27846,27966,26810
