method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Desktop,327,142,87,61,46,104,223,828,1974,3867,4368,4604,4218,3908,4266,4177,3806,2747,2079,1978,1648,1445,1103,668
Mobile,1336,767,380,282,253,536,1702,4891,9116,11110,11260,11505,11407,11132,11220,10919,9881,8943,8108,7193,6584,5848,4719,2710
Open311,60,26,18,11,16,32,115,252,625,1266,1545,1460,1353,1416,1461,1261,867,521,369,353,321,297,196,128
Unclear,2501,1080,640,451,419,795,2376,6865,14393,23093,25050,25566,23893,22598,22904,22777,20129,15504,13113,11819,11266,9850,8003,4655
