status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,41783,41623,45896,38599,33054,28543,29635,26849,26835,23263
Reported Fixed,12667,16073,17338,16610,15861,15881,15096,13455,12638,11209
