status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,19368,25211,26134,31001,32919,32186,43865,40767,44909,39720
Reported Fixed,9910,11702,12148,14195,15624,14992,17653,15537,17627,17440
