cobrand_reduced,A1,B1,C1,C2,D1,D2,E1,E2
Cobrand,67392.0,33.0,66372.0,158.0,16332.0,90.0,22825.0,537.0
FixMyStreet.com,106937.0,8955.0,123232.0,520.0,30808.0,583.0,45334.0,2133.0
