status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,18426,25611,31461,38609,37398,40048,39216,42189,38588,39582
Reported Fixed,8754,12712,14160,16018,14113,15828,16432,18525,18236,17836
