repeat_use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
First Report,912,462,246,182,173,313,909,2528,5249,8750,9413,9678,9299,8645,9002,8566,7981,6458,5683,5146,4855,4301,3327,1969
Reported Before,3312,1553,879,623,561,1154,3507,10308,20859,30586,32810,33457,31572,30409,30849,30568,26702,21257,17986,16197,14964,13139,10694,6192
