status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,18319,25217,30171,36475,37613,39138,39955,44359,39701,40448
Reported Fixed,8665,12660,13449,14711,14796,15479,16565,19417,18696,18296
