SHEF_C,No Photo,Photo
Abandoned Vehicles & Parking,11907,12181
Access,10527,5815
Environmental Disruptions,27307,11582
Environmental Health,78066,88152
Incivilities,3616,8282
Other,15272,8480
Public Space,3508,4055
Road Safety & Defects,156491,58944
