repeat_use,1,2,3,4,5,6,7,8,9,10
First Report,39.0,25.0,21.0,16.0,17.0,23.0,24.0,24.0,38.0,16.0
Reported Before,74.0,69.0,54.0,75.0,55.0,98.0,82.0,96.0,98.0,118.0
