status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,16782,21519,28390,32829,32275,34320,35742,38493,41488,54242
Reported Fixed,7788,10324,13841,14575,15414,14469,14999,16230,18542,20646
