method,1,2,3,4,5,6,7,8,9,10
Cobrand,11409.0,13367.0,15964.0,14588.0,14010.0,13641.0,13591.0,11846.0,11685.0,10269.0
FixMyStreet.com,17115.0,16527.0,18205.0,16308.0,15404.0,13618.0,14393.0,13130.0,13249.0,11463.0
Mobile,25926.0,27802.0,29065.0,24313.0,19501.0,17165.0,16747.0,15328.0,14539.0,12740.0
