status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,33032,35768,41272,36996,36916,35993,34770,29127,27828,24378
Reported Fixed,13217,16925,16305,14956,15030,14092,16097,14688,13830,11688
