method,1,2,3,4,5,6,7,8,9,10
Desktop,32.0,56.0,63.0,54.0,83.0,93.0,76.0,73.0,104.0,76.0
Mobile,572.0,515.0,419.0,378.0,283.0,389.0,362.0,382.0,442.0,401.0
Unclear,252.0,536.0,430.0,427.0,435.0,559.0,330.0,460.0,590.0,459.0
