method,1,2,3,4,5,6,7,8,9,10
Desktop,1672,2376,3611,3586,4101,4679,5255,6893,7191,7636
Mobile,11039,10363,11558,11714,12206,15838,13291,16866,17077,22221
Open311,465,813,1182,1545,1257,1543,2104,1743,1957,1344
Unclear,11283,16720,24256,24820,25133,28822,31800,37418,38561,40969
