method,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Desktop,9042,8540,8450,7574,6210,3994,4864
Mobile,24041,22986,22638,21214,19172,20182,21569
Open311,2855,2614,2541,2321,2061,721,856
Unclear,50684,48220,47930,46769,42145,25630,28362
