status-council,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,3448,1674,953,688,641,1212,3638,10420,20987,31198,33814,34871,33303,31674,32452,31993,28700,23278,19686,17577,16314,14188,11444,6703
Yes,776,341,172,117,93,255,778,2416,5121,8138,8409,8264,7568,7380,7399,7141,5983,4437,3983,3766,3505,3252,2577,1458
