SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Highway Condition,133.0,110.0,54.0,35.0,23.0,59.0,186.0,518.0,929.0,1198.0,1269.0,1349.0,1217.0,1272.0,1253.0,1373.0,1193.0,1093.0,893.0,784.0,689.0,638.0,575.0,338.0
Highway Drainage,1.0,1.0,,,,,,1.0,3.0,6.0,6.0,2.0,6.0,4.0,5.0,2.0,3.0,3.0,3.0,,1.0,3.0,2.0,2.0
Ice & Snow,,,,,,,2.0,1.0,8.0,11.0,7.0,7.0,13.0,3.0,6.0,6.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,
Leafing,2.0,,,,1.0,,2.0,21.0,18.0,25.0,36.0,46.0,25.0,35.0,28.0,29.0,43.0,15.0,13.0,8.0,12.0,2.0,7.0,3.0
Lewisham Homes,2.0,1.0,,1.0,,1.0,3.0,15.0,6.0,16.0,9.0,21.0,6.0,13.0,10.0,13.0,12.0,12.0,10.0,12.0,11.0,6.0,2.0,
Litter/Litter Bin,28.0,11.0,5.0,4.0,10.0,9.0,31.0,143.0,412.0,649.0,545.0,617.0,604.0,631.0,429.0,495.0,519.0,350.0,239.0,194.0,167.0,143.0,101.0,57.0
Manhole Covers,13.0,12.0,3.0,5.0,4.0,8.0,23.0,56.0,143.0,265.0,283.0,311.0,266.0,253.0,250.0,257.0,177.0,156.0,83.0,82.0,77.0,72.0,51.0,26.0
Manhole Defects,1.0,,2.0,,,,1.0,2.0,3.0,8.0,7.0,6.0,8.0,11.0,12.0,8.0,7.0,6.0,2.0,3.0,2.0,3.0,,1.0
Missed Bin Collection,3.0,1.0,,,,1.0,7.0,23.0,38.0,48.0,67.0,46.0,35.0,48.0,41.0,34.0,18.0,22.0,31.0,21.0,16.0,11.0,6.0,4.0
Noise,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,2.0,,
Obstruction,32.0,36.0,16.0,12.0,11.0,18.0,37.0,111.0,353.0,578.0,683.0,588.0,607.0,540.0,579.0,567.0,497.0,341.0,284.0,223.0,198.0,142.0,125.0,74.0
Open Spaces/Parks,66.0,39.0,13.0,6.0,13.0,9.0,66.0,220.0,418.0,650.0,604.0,672.0,600.0,550.0,586.0,573.0,514.0,406.0,402.0,341.0,287.0,250.0,151.0,106.0
Other,221.0,98.0,76.0,31.0,45.0,69.0,207.0,592.0,1149.0,1772.0,1932.0,2028.0,1862.0,1820.0,1895.0,1924.0,1656.0,1273.0,1065.0,970.0,898.0,782.0,706.0,409.0
Overgrown Vegetation,72.0,24.0,16.0,12.0,20.0,40.0,86.0,244.0,677.0,1211.0,1408.0,1534.0,1391.0,1311.0,1457.0,1386.0,1069.0,575.0,481.0,499.0,418.0,379.0,296.0,125.0
Parking,101.0,53.0,29.0,17.0,19.0,38.0,84.0,249.0,509.0,766.0,745.0,760.0,757.0,725.0,799.0,888.0,768.0,605.0,607.0,472.0,485.0,377.0,298.0,161.0
Pavement /Footway Defects,191.0,103.0,49.0,33.0,35.0,62.0,208.0,609.0,1375.0,2435.0,2611.0,2728.0,2579.0,2366.0,2573.0,2497.0,2239.0,1569.0,1257.0,1125.0,1050.0,791.0,719.0,369.0
Pest Control,,,,,,,,,,,,,,,,,,,,,,1.0,,
Phoenix HA,,,,,,,,,4.0,4.0,1.0,2.0,2.0,,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,4.0
