status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,13225,18051,22983,24199,30086,37020,36073,43624,43784,67035
Reported Fixed,6801,8385,10951,11480,14025,14272,15171,17882,19890,27971
